question_id,db_id,question,predicted_sql,retrieved_tables,latency_seconds,llm_model,embedding_model,top_k,method,timestamp
1,transaction_enose,Tampilkan semua data transaksi e-nose,SELECT * FROM transaction_enose WHERE data_send LIKE '%e-nose%',transaction_enose,15.2178,qwen2.5:3b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-04-14T13:25:05.022899
2,transaction_enose,Tampilkan data e-nose yang paling baru,SELECT * FROM transaction_enose WHERE type = 'e-nose' ORDER BY date_time DESC LIMIT 1,transaction_enose,0.4969,qwen2.5:3b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-04-14T13:25:05.519828
3,transaction_enose,Tampilkan data e-nose yang paling lama,SELECT * FROM transaction_enose WHERE date_time = (SELECT MIN(date_time) FROM transaction_enose) ORDER BY date_time ASC LIMIT 1,transaction_enose,0.5835,qwen2.5:3b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-04-14T13:25:06.111498
4,transaction_enose,Tampilkan semua transaksi e-nose untuk jenis greentea,"SELECT * FROM transaction_enose WHERE data_send LIKE '%type=""greentea""%'",transaction_enose,0.4404,qwen2.5:3b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-04-14T13:25:06.551892
5,transaction_enose,Berapa jumlah transaksi e-nose untuk jenis greentea?,SELECT COUNT(*) AS total FROM transaction_enose WHERE data_send LIKE '%greentea%',transaction_enose,0.4701,qwen2.5:3b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-04-14T13:25:07.021984
6,transaction_enose,Berapa jumlah transaksi yang dikirim oleh device e-nose_1?,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'e-nose_1',transaction_enose,0.4759,qwen2.5:3b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-04-14T13:25:07.497928
7,transaction_enose,Tampilkan transaksi e-nose yang hasil klasifikasinya 'Baik',"SELECT * FROM transaction_enose WHERE JSON_EXTRACT(data_send, '$.classification') = 'Baik'",transaction_enose,0.5,qwen2.5:3b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-04-14T13:25:07.997909
8,transaction_enose,Tampilkan transaksi e-nose dengan multiclass A,"SELECT * FROM transaction_enose WHERE JSON_CONTAINS(data_send, '""label"":""A""', '$')",transaction_enose,0.4675,qwen2.5:3b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-04-14T13:25:08.465374
9,transaction_enose,Tampilkan transaksi e-nose pada bulan Februari 2025,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025 AND MONTH(date_time) = 2 ORDER BY date_time DESC LIMIT 50,transaction_enose,0.5822,qwen2.5:3b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-04-14T13:25:09.047533
10,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada tahun 2025,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025,transaction_enose,0.4242,qwen2.5:3b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-04-14T13:25:09.471745
11,transaction_enose,Kapan transaksi e-nose terakhir terjadi?,"SELECT MAX(date_time) AS last_transaction FROM transaction_enose WHERE type = 'e-nose' GROUP BY user_key, device_id",transaction_enose,0.524,qwen2.5:3b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-04-14T13:25:09.996237
12,transaction_enose,Tampilkan transaksi e-nose yang terjadi antara jam 10:00 dan 12:00,"SELECT * FROM transaction_enose WHERE DATE_FORMAT(date_time, '%H:%i') BETWEEN '10:00' AND '12:00'",transaction_enose,0.582,qwen2.5:3b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-04-14T13:25:10.581253
13,transaction_enose,Berapa score klasifikasi terendah yang pernah tercatat?,"SELECT MIN(JSON_EXTRACT(data_send, '$.score')) AS lowest_score FROM transaction_enose WHERE JSON_EXTRACT(data_send, '$.type) = ""classification""'",transaction_enose,0.5841,qwen2.5:3b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-04-14T13:25:11.166225
14,transaction_enose,Berapa jumlah transaksi e-nose per device?,SELECT COUNT(DISTINCT device_id) AS total FROM transaction_enose,transaction_enose,0.4234,qwen2.5:3b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-04-14T13:25:11.590290
