question_id,db_id,gold_sql,predicted_sql,esm_match,exec_match,pred_syntax_valid,gold_syntax_valid,is_select1,pred_valid,gold_valid,comparison,pred_latency_ms,gold_latency_ms,pred_error,gold_error,pred_syntax_error
1,transaction_enose,SELECT * FROM transaction_enose,SELECT * FROM transaction_enose,True,True,True,True,False,True,True,match,4.552,4.286,,,
2,transaction_enose,SELECT * FROM transaction_enose ORDER BY date_time DESC LIMIT 1,SELECT * FROM transaction_enose WHERE date_time = (SELECT MAX(date_time) FROM transaction_enose),False,True,True,True,False,True,True,match,1.389,0.86,,,
3,transaction_enose,SELECT * FROM transaction_enose ORDER BY date_time ASC LIMIT 1,SELECT * FROM transaction_enose WHERE date_time = DATE('1970-01-01') ORDER BY date_time DESC LIMIT 50,False,False,True,True,False,True,True,mismatch,1.019,3.614,,,
4,transaction_enose,SELECT * FROM transaction_enose WHERE type = 'greentea',SELECT * FROM transaction_enose WHERE type = 'greentea',True,True,True,True,False,True,True,match,3.898,4.055,,,
5,transaction_enose,SELECT COUNT(*) AS total FROM transaction_enose WHERE type = 'greentea',SELECT COUNT(*) AS total FROM transaction_enose WHERE type = 'greentea',True,True,True,True,False,True,True,match,1.024,0.746,,,
6,transaction_enose,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'e-nose_1',SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'e-nose_1',True,True,True,True,False,True,True,match,0.741,0.881,,,
7,transaction_enose,SELECT * FROM transaction_enose WHERE value LIKE '%Class:Baik%',"SELECT transaction_enose.user_key, transaction_enose.device_id, transaction_enose.date_time, transaction_enose.type, data_send AS klasifikasi, data_send AS hasil_klasifikasi FROM transaction_enose WHERE transaction_enose.value = 'Baik'",False,True,True,True,False,True,True,match,1.389,2.517,,,
8,transaction_enose,SELECT * FROM transaction_enose WHERE value LIKE '%Multiclass:A%',SELECT * FROM transaction_enose WHERE device_id = 'A' AND type IN ('multiclass A') ORDER BY date_time DESC LIMIT 100,False,True,True,True,False,True,True,match,0.851,0.907,,,
9,transaction_enose,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025 AND MONTH(date_time) = 2,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025 AND MONTH(date_time) = 2 ORDER BY date_time DESC LIMIT 100,False,True,True,True,False,True,True,match,2.413,2.459,,,
10,transaction_enose,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025 AND type = 'e-nose' ORDER BY date_time DESC LIMIT 100,False,False,True,True,False,True,True,mismatch,0.978,3.697,,,
11,transaction_enose,SELECT MAX(date_time) AS transaksi_terakhir FROM transaction_enose,SELECT MAX(date_time) AS last_transaction FROM transaction_enose,True,True,True,True,False,True,True,match,1.424,1.148,,,
12,transaction_enose,SELECT * FROM transaction_enose WHERE TIME(date_time) BETWEEN '10:00:00' AND '12:00:00',SELECT * FROM transaction_enose WHERE date_time BETWEEN '2025-03-01' AND '2025-03-02' AND type = 'e-nose' ORDER BY date_time DESC LIMIT 50,False,False,True,True,False,True,True,mismatch,1.736,1.887,,,
13,transaction_enose,"SELECT MIN(CAST(SUBSTRING_INDEX(SUBSTRING_INDEX(value, 'Score:', -1), ',', 1) AS DECIMAL(5,2))) AS min_score FROM transaction_enose",SELECT COUNT(*) AS total FROM transaction_enose WHERE type = 'score' AND data_send IS NOT NULL ORDER BY value ASC LIMIT 1,False,False,True,True,False,True,True,mismatch,0.858,1.248,,,
