question_id,db_id,question,predicted_sql,retrieved_tables,latency_seconds,llm_model,embedding_model,top_k,method,timestamp
1,transaction_enose,Tampilkan semua data transaksi e-nose,"SELECT user_key, device_id, date_time, type, JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.transaction_type')) AS transaction_type, value FROM transaction_enose",transaction_enose,9.205,mistral:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:46:14.549715
2,transaction_enose,Tampilkan data e-nose yang paling baru,SELECT * FROM transaction_enose ORDER BY date_time DESC LIMIT 50,transaction_enose,0.4035,mistral:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:46:14.954776
3,transaction_enose,Tampilkan data e-nose yang paling lama,SELECT * FROM transaction_enose ORDER BY date_time ASC LIMIT 1,transaction_enose,0.4488,mistral:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:46:15.403602
4,transaction_enose,Tampilkan semua transaksi e-nose untuk jenis greentea,SELECT * FROM transaction_enose WHERE type = 'greentea',transaction_enose,0.3473,mistral:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:46:15.750912
5,transaction_enose,Berapa jumlah transaksi e-nose untuk jenis greentea?,"SELECT COUNT(*) AS total FROM transaction_enose WHERE type = 'e-nose' AND JSON_EXTRACT(data_send, '$.type') = 'greentea'",transaction_enose,0.7804,mistral:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:46:16.534724
6,transaction_enose,Berapa jumlah transaksi yang dikirim oleh device e-nose_1?,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'e-nose_1',transaction_enose,0.5383,mistral:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:46:17.073006
7,transaction_enose,Tampilkan transaksi e-nose yang hasil klasifikasinya 'Baik',"SELECT * FROM transaction_enose WHERE JSON_EXTRACT(data_send, '$.classification') = 'Baik'",transaction_enose,0.5846,mistral:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:46:17.657628
8,transaction_enose,Tampilkan transaksi e-nose dengan multiclass A,"SELECT * FROM transaction_enose WHERE type = 'multiclass A' AND JSON_EXTRACT(data_send, '$.class') = 'A'",transaction_enose,0.6723,mistral:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:46:18.329920
9,transaction_enose,Tampilkan transaksi e-nose pada bulan Februari 2025,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025 AND MONTH(date_time) = 2 AND type LIKE '%e-nose%' ORDER BY date_time DESC LIMIT 50,transaction_enose,0.9978,mistral:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:46:19.327707
10,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada tahun 2025,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025,transaction_enose,0.4463,mistral:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:46:19.773959
11,transaction_enose,Kapan transaksi e-nose terakhir terjadi?,SELECT MAX(date_time) AS latest_transaction FROM transaction_enose WHERE type = 'transaksi_e_nose',transaction_enose,0.5958,mistral:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:46:20.369779
12,transaction_enose,Tampilkan transaksi e-nose yang terjadi antara jam 10:00 dan 12:00,SELECT * FROM transaction_enose WHERE TIME(date_time) BETWEEN '10:00:00' AND '12:00:00' ORDER BY date_time DESC LIMIT 50,transaction_enose,0.9254,mistral:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:46:21.297484
13,transaction_enose,Berapa score klasifikasi terendah yang pernah tercatat?,SELECT MIN(value) AS lowest_score FROM transaction_enose WHERE type = 'classification',transaction_enose,0.4386,mistral:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:46:21.736125
14,transaction_enose,Berapa jumlah transaksi e-nose per device?,"SELECT device_id, COUNT(*) AS jumlah_transaksi FROM transaction_enose GROUP BY device_id",transaction_enose,0.6085,mistral:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:46:22.344576
15,transaction_enose,Tampilkan jumlah transaksi e-nose dengan klasifikasi Baik dan Cacat Mutu secara bersamaan,"SELECT COUNT(*) AS total FROM transaction_enose WHERE type IN ('Klasifikasi Baik', 'Klasifikasi Cacat Mutu') AND JSON_EXTRACT(data_send, '$.classification') IS NOT NULL GROUP BY JSON_EXTRACT(data_send, '$.classification') HAVING COUNT(*) > 1",transaction_enose,1.5121,mistral:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:46:23.856701
16,transaction_enose,"Berapa jumlah transaksi e-nose untuk masing-masing multiclass (A, B, C, D, E)?","SELECT `type`, COUNT(*) AS total FROM `transaction_enose` WHERE `type` LIKE '%e-nose%' GROUP BY `type`",transaction_enose,0.7448,mistral:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:46:24.601531
17,transaction_enose,Berapa rata-rata score per jenis teh?,"SELECT `type`, AVG(`value`) AS average_score FROM transaction_enose JOIN (SELECT JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.tea_type')) AS tea_type, user_key FROM transaction_enose WHERE JSON_EXISTS(data_send, '$.tea_type') GROUP BY tea_type) AS tea_types ON transaction_enose.user_key = tea_types.user_key GROUP BY type ORDER BY average_score DESC",transaction_enose,2.2531,mistral:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:46:26.854616
18,transaction_enose,Device mana yang paling sering mengirimkan data e-nose?,"SELECT device_id, COUNT(*) AS frequency FROM transaction_enose JOIN (SELECT device_id, JSON_EXTRACT(data_send, '$.device') AS device_id_json FROM transaction_enose GROUP BY device_id) AS device_count ON transaction_enose.device_id = device_count.device_id_json GROUP BY device_id ORDER BY frequency DESC LIMIT 1",transaction_enose,1.8593,mistral:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:46:28.713904
19,transaction_enose,Berapa jumlah transaksi e-nose per hari untuk device e-nose_1 pada bulan Juli 2025?,"SELECT COUNT(*) AS daily_transactions FROM transaction_enose WHERE MONTH(date_time) = 7 AND YEAR(date_time) = 2025 AND device_id = 'e-nose_1' AND DATE_FORMAT(date_time, '%H') = HOUR(NOW()) GROUP BY DATE(date_time) HAVING DATE(date_time) = DATE(NOW())",transaction_enose,1.8159,mistral:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:46:30.529844
20,transaction_enose,Pada hari apa jumlah transaksi e-nose paling banyak?,"SELECT `date_time` AS day, COUNT(*) AS transaction_count FROM transaction_enose WHERE type = 'e-nose' GROUP BY `date_time` ORDER BY transaction_count DESC LIMIT 1",transaction_enose,1.0224,mistral:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:46:31.554928
21,transaction_enose,Berapa persentase transaksi e-nose yang terdeteksi sebagai Cacat Mutu?,"SELECT COUNT(*) AS total_transactions, SUM(CASE WHEN value = 'Cacat Mutu' THEN 1 ELSE 0 END) AS cacat_mutu_count, COUNT(*) - SUM(CASE WHEN value = 'Cacat Mutu' THEN 1 ELSE 0 END) AS non_cacat_mutu_count FROM transaction_enose",transaction_enose,1.6523,mistral:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:46:33.207259
22,transaction_enose,Tampilkan bulan-bulan dimana jumlah transaksi e-nose lebih dari 20,"SELECT MONTH(date_time) AS month FROM transaction_enose WHERE JSON_EXTRACT(data_send, '$.transactions') > 20 GROUP BY month HAVING COUNT(*) > 20 ORDER BY month ASC",transaction_enose,1.1197,mistral:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:46:34.327000
23,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada hari dengan total transaksi terbanyak,"SELECT `date_time`, `user_key`, `device_id`, `type`, JSON_EXTRACT(`data_send`, '$.transaction_count') AS `total_transactions` FROM `transaction_enose` JOIN (SELECT `date_time`, COUNT(`user_key`) AS `total` FROM `transaction_enose` GROUP BY `date_time` ORDER BY `total` DESC LIMIT 1) AS `max_transactions` ON `transaction_enose`.`date_time` = `max_transactions`.`date_time` ORDER BY `total_transactions` DESC LIMIT 1",transaction_enose,2.7248,mistral:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:46:37.051750
24,transaction_object_detection,Tampilkan semua data deteksi objek,SELECT * FROM transaction_object_detection,transaction_object_detection,0.353,mistral:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:46:37.404719
25,transaction_object_detection,Tampilkan 10 data deteksi objek terbaru,SELECT * FROM transaction_object_detection ORDER BY detection_time DESC LIMIT 10,transaction_object_detection,0.4501,mistral:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:46:37.855414
26,transaction_object_detection,Tampilkan data deteksi objek yang paling baru,SELECT * FROM transaction_object_detection ORDER BY detection_time DESC LIMIT 50,transaction_object_detection,0.4694,mistral:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:46:38.324803
27,transaction_object_detection,Tampilkan data deteksi objek yang paling lama,SELECT * FROM transaction_object_detection ORDER BY detection_time ASC LIMIT 1,transaction_object_detection,0.4779,mistral:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:46:38.802694
28,transaction_object_detection,Apa saja jenis objek yang pernah terdeteksi?,SELECT DISTINCT type FROM transaction_object_detection,transaction_object_detection,0.3408,mistral:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:46:39.144657
29,transaction_object_detection,Tampilkan semua data deteksi untuk objek 'car',SELECT * FROM transaction_object_detection WHERE type = 'car' ORDER BY detection_time DESC,transaction_object_detection,0.4852,mistral:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:46:39.629863
30,transaction_object_detection,Berapa jumlah record deteksi untuk jenis 'bus'?,SELECT COUNT(*) AS total FROM transaction_object_detection WHERE type = 'bus',transaction_object_detection,0.4527,mistral:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:46:40.087542
31,transaction_object_detection,Tampilkan deteksi objek yang nilainya kurang dari 5,SELECT * FROM transaction_object_detection WHERE value < 5,transaction_object_detection,0.3779,mistral:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:46:40.465455
32,transaction_object_detection,Kapan deteksi objek terakhir dilakukan?,SELECT MAX(detection_time) AS latest_detection_time FROM transaction_object_detection,transaction_object_detection,0.4892,mistral:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:46:40.954694
33,transaction_object_detection,Berapa nilai minimum objek yang terdeteksi dalam satu snapshot?,"SELECT MIN(value) AS minimum_value FROM transaction_object_detection GROUP BY detection_time, device_id, user_key",transaction_object_detection,0.7177,mistral:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:46:41.675200
34,transaction_object_detection,Berapa total masing-masing jenis objek yang terdeteksi?,"SELECT type, COUNT(*) AS total FROM transaction_object_detection GROUP BY type ORDER BY total DESC",transaction_object_detection,0.6137,mistral:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:46:42.288862
