question_id,db_id,gold_sql,predicted_sql,esm_match,exec_match,pred_syntax_valid,gold_syntax_valid,is_select1,pred_valid,gold_valid,comparison,pred_latency_ms,gold_latency_ms,pred_error,gold_error,pred_syntax_error
1,transaction_enose,SELECT * FROM transaction_enose,SELECT * FROM transaction_enose WHERE type = 'transaction',False,False,True,True,False,True,True,mismatch,0.908,1.995,,,
2,transaction_enose,SELECT * FROM transaction_enose ORDER BY date_time DESC LIMIT 1,SELECT * FROM transaction_enose WHERE date_time = (SELECT MAX(date_time) FROM transaction_enose) ORDER BY date_time DESC,False,True,True,True,False,True,True,match,0.62,0.564,,,
3,transaction_enose,SELECT * FROM transaction_enose ORDER BY date_time ASC LIMIT 1,SELECT * FROM transaction_enose WHERE date_time = (SELECT MAX(date_time) FROM transaction_enose) ORDER BY date_time DESC,False,False,True,True,False,True,True,mismatch,0.635,0.664,,,
4,transaction_enose,SELECT * FROM transaction_enose WHERE type = 'greentea',SELECT * FROM transaction_enose WHERE data_send = 'greentea',False,False,True,True,False,True,True,mismatch,0.705,2.006,,,
5,transaction_enose,SELECT COUNT(*) AS total FROM transaction_enose WHERE type = 'greentea',SELECT COUNT(*) AS total FROM transaction_enose WHERE data_send = 'greentea',False,False,True,True,False,True,True,mismatch,0.6,0.445,,,
6,transaction_enose,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'e-nose_1',SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'e-nose_1',True,True,True,True,False,True,True,match,0.261,0.225,,,
7,transaction_enose,SELECT * FROM transaction_enose WHERE value LIKE '%Class:Baik%',SELECT * FROM transaction_enose WHERE data_send = 'Baik',False,True,True,True,False,True,True,match,0.304,0.295,,,
8,transaction_enose,SELECT * FROM transaction_enose WHERE value LIKE '%Multiclass:A%',SELECT * FROM transaction_enose WHERE data_send = 'multiclass A',False,True,True,True,False,True,True,match,0.64,0.4,,,
9,transaction_enose,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025 AND MONTH(date_time) = 2,SELECT * FROM transaction_enose WHERE MONTH(date_time) = 2 AND YEAR(date_time) = 2025,True,True,True,True,False,True,True,match,0.944,0.828,,,
10,transaction_enose,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025,True,True,True,True,False,True,True,match,2.174,1.88,,,
11,transaction_enose,SELECT MAX(date_time) AS transaksi_terakhir FROM transaction_enose,SELECT MAX(date_time) FROM transaction_enose WHERE type = 'transaksi',False,False,True,True,False,True,True,mismatch,0.453,0.424,,,
12,transaction_enose,SELECT * FROM transaction_enose WHERE TIME(date_time) BETWEEN '10:00:00' AND '12:00:00',SELECT * FROM transaction_enose WHERE date_time BETWEEN '10:00:00' AND '12:00:00',False,False,True,True,False,True,True,mismatch,0.648,1.366,,,
13,transaction_enose,"SELECT MIN(CAST(SUBSTRING_INDEX(SUBSTRING_INDEX(value, 'Score:', -1), ',', 1) AS DECIMAL(5,2))) AS min_score FROM transaction_enose","SELECT MAX(value) AS max_score FROM transaction_enose WHERE JSON_UNQUOTE(JSON_EXTRACT(data_send, '$')) = 'klasifikasi'",False,False,True,True,False,True,True,mismatch,1.801,0.856,,,
14,transaction_enose,"SELECT device_id, COUNT(*) AS total FROM transaction_enose GROUP BY device_id ORDER BY total DESC","SELECT device_id, COUNT(*) AS total FROM transaction_enose GROUP BY device_id",False,True,True,True,False,True,True,match,0.495,0.602,,,
15,transaction_enose,"SELECT SUM(CASE WHEN value LIKE '%Class:Baik%' THEN 1 ELSE 0 END) AS total_baik, SUM(CASE WHEN value LIKE '%Cacat Mutu%' THEN 1 ELSE 0 END) AS total_cacat_mutu FROM transaction_enose","SELECT COUNT(*) AS total, JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.classification')) AS classification FROM transaction_enose WHERE type = 'e-nose' AND JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.classification')) = 'Baik' INTERSECT SELECT COUNT(*) AS total, JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.classification')) AS classification FROM transaction_enose WHERE type = 'e-nose' AND JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.classification')) = 'Cacat Mutu'",False,False,True,True,False,True,True,mismatch,2.793,0.563,,,
16,transaction_enose,"SELECT SUM(CASE WHEN value LIKE '%Multiclass:A%' THEN 1 ELSE 0 END) AS A, SUM(CASE WHEN value LIKE '%Multiclass:B%' THEN 1 ELSE 0 END) AS B, SUM(CASE WHEN value LIKE '%Multiclass:C%' THEN 1 ELSE 0 END) AS C, SUM(CASE WHEN value LIKE '%Multiclass:D%' THEN 1 ELSE 0 END) AS D, SUM(CASE WHEN value LIKE '%Multiclass:E%' THEN 1 ELSE 0 END) AS E FROM transaction_enose","SELECT CASE WHEN JSON_UNQUOTE(data_send)::TEXT = 'multiclass_A' THEN 'A' WHEN JSON_UNQUOTE(data_send)::TEXT = 'multiclass_B' THEN 'B' WHEN JSON_UNQUOTE(data_send)::TEXT = 'multiclass_C' THEN 'C' WHEN JSON_UNQUOTE(data_send)::TEXT = 'multiclass_D' THEN 'D' WHEN JSON_UNQUOTE(data_send)::TEXT = 'multiclass_E' THEN 'E' ELSE '' END AS multiclass, COUNT(*) AS total_transactions FROM transaction_enose GROUP BY multiclass ORDER BY multiclass",False,False,False,True,False,False,True,pred_error,0.268,0.409,"(pymysql.err.ProgrammingError) (1064, ""You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near '::TEXT = 'multiclass_A' THEN 'A' WHEN JSON_UNQUOTE(data_send)::TEXT = 'multic...' at line 1"")
[SQL: SELECT CASE WHEN JSON_UNQUOTE(data_send)::TEXT = 'multiclass_A' THEN 'A' WHEN JSON_UNQUOTE(data_send)::TEXT = 'multiclass_B' THEN 'B' WHEN JSON_UNQUOTE(data_send)::TEXT = 'multiclass_C' THEN 'C' WHEN JSON_UNQUOTE(data_send)::TEXT = 'multiclass_D' THEN 'D' WHEN JSON_UNQUOTE(data_send)::TEXT = 'multiclass_E' THEN 'E' ELSE '' END AS multiclass, COUNT(*) AS total_transactions FROM transaction_enose GROUP BY multiclass ORDER BY multiclass]
(Background on this error at: https://sqlalche.me/e/20/f405)",,"(pymysql.err.ProgrammingError) (1064, ""You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near '::TEXT = 'multiclass_A' THEN 'A' WHEN JSON_UNQUOTE(data_send)::TEXT = 'multic...' at line 1"")
[SQL: SELECT * FROM (SELECT CASE WHEN JSON_UNQUOTE(data_send)::TEXT = 'multiclass_A' THEN 'A' WHEN JSON_UNQUOTE(data_send)::TEXT = 'multiclass_B' THEN 'B' WHEN JSON_UNQUOTE(data_send)::TEXT = 'multiclass_C' THEN 'C' WHEN JSON_UNQUOTE(data_send)::TEXT = 'multiclass_D' THEN 'D' WHEN JSON_UNQUOTE(data_send)::TEXT = 'multiclass_E' THEN 'E' ELSE '' END AS multiclass, COUNT(*) AS total_transactions FROM transaction_enose GROUP BY multiclass ORDER BY multiclass) AS __syntax_check LIMIT 0]
(Background on this error at: https://sqlalche.me/e/20/f405)"
17,transaction_enose,"SELECT type, AVG(CAST(SUBSTRING_INDEX(SUBSTRING_INDEX(value, 'Score:', -1), ',', 1) AS DECIMAL(5,2))) AS avg_score FROM transaction_enose GROUP BY type ORDER BY avg_score DESC","SELECT JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.type')), AVG(JSON_UNQUOTE(JSON_EXTRACT(value, '$.score'))) AS average_score FROM transaction_enose GROUP BY type ORDER BY average_score DESC",False,False,True,True,False,True,True,mismatch,7.99,1.521,,,
18,transaction_enose,"SELECT device_id, COUNT(*) AS total FROM transaction_enose GROUP BY device_id ORDER BY total DESC LIMIT 1","SELECT device_id, COUNT(*) AS total_send FROM transaction_enose GROUP BY device_id ORDER BY total_send DESC LIMIT 1",False,True,True,True,False,True,True,match,0.767,0.619,,,
19,transaction_enose,"SELECT DATE(date_time) AS tanggal, COUNT(*) AS total FROM transaction_enose WHERE device_id = 'e-nose_1' AND YEAR(date_time) = 2025 AND MONTH(date_time) = 7 GROUP BY tanggal ORDER BY tanggal","SELECT DATE_FORMAT(date_time, '%Y-%m-01') AS date_range, COUNT(*) AS total_transactions FROM transaction_enose WHERE device_id = 'e-nose_1' AND MONTH(date_time) = 7 AND YEAR(date_time) = 2025 GROUP BY date_range ORDER BY date_range",False,False,True,True,False,True,True,mismatch,0.75,0.715,,,
20,transaction_enose,"SELECT DATE(date_time) AS tanggal, COUNT(*) AS total FROM transaction_enose GROUP BY tanggal ORDER BY total DESC LIMIT 1","SELECT DATE(date_time) AS transaction_date, COUNT(*) AS total_transactions FROM transaction_enose WHERE type = 'e-nose' GROUP BY transaction_date ORDER BY total_transactions DESC LIMIT 1",False,False,True,True,False,True,True,mismatch,0.441,0.364,,,
21,transaction_enose,"SELECT ROUND(COUNT(CASE WHEN value LIKE '%Cacat Mutu%' THEN 1 END) * 100.0 / COUNT(*), 2) AS persen_cacat_mutu FROM transaction_enose",SELECT (COUNT(*) * 100.0 / (SELECT COUNT(*) FROM transaction_enose)) AS persentase_cacat_mutu FROM transaction_enose WHERE type = 'Cacat Mutu',False,False,True,True,False,True,True,mismatch,0.779,0.68,,,
22,transaction_enose,"SELECT DATE_FORMAT(date_time, '%Y-%m') AS bulan, COUNT(*) AS total FROM transaction_enose GROUP BY bulan HAVING total > 20 ORDER BY bulan","SELECT DATE_FORMAT(date_time, '%Y-%m') AS month, COUNT(*) AS total_transactions FROM transaction_enose WHERE value > '20' GROUP BY month HAVING total_transactions > 1",False,False,True,True,False,True,True,mismatch,0.963,0.78,,,
23,transaction_enose,SELECT * FROM transaction_enose WHERE DATE(date_time) = (SELECT DATE(date_time) FROM transaction_enose GROUP BY DATE(date_time) ORDER BY COUNT(*) DESC LIMIT 1),"SELECT user_key, SUM(value) AS total_value FROM transaction_enose WHERE date_time = DATE(date_time) GROUP BY user_key ORDER BY total_value DESC LIMIT 50",False,False,True,True,False,True,True,mismatch,14.501,1.751,,,
24,transaction_object_detection,SELECT * FROM transaction_object_detection,SELECT * FROM transaction_object_detection,True,True,True,True,False,True,True,match,41.78,33.126,,,
25,transaction_object_detection,SELECT * FROM transaction_object_detection ORDER BY detection_time DESC LIMIT 10,"SELECT * FROM transaction_object_detection WHERE detection_time >= DATE_SUB(CURDATE(), INTERVAL 1 DAY) ORDER BY detection_time DESC LIMIT 10",False,False,True,True,False,True,True,mismatch,2.862,5.107,,,
26,transaction_object_detection,SELECT * FROM transaction_object_detection ORDER BY detection_time DESC LIMIT 1,SELECT * FROM transaction_object_detection WHERE detection_time = (SELECT MAX(detection_time) FROM transaction_object_detection) ORDER BY detection_time DESC,False,False,True,True,False,True,True,mismatch,9.435,2.711,,,
27,transaction_object_detection,SELECT * FROM transaction_object_detection ORDER BY detection_time ASC LIMIT 1,SELECT * FROM transaction_object_detection WHERE detection_time = (SELECT MAX(detection_time) FROM transaction_object_detection) ORDER BY detection_time DESC,False,False,True,True,False,True,True,mismatch,9.917,5.27,,,
28,transaction_object_detection,SELECT DISTINCT type FROM transaction_object_detection,"SELECT type, value FROM transaction_object_detection WHERE device_id IS NOT NULL",False,False,True,True,False,True,True,mismatch,19.161,5.759,,,
29,transaction_object_detection,SELECT * FROM transaction_object_detection WHERE type = 'car',SELECT * FROM transaction_object_detection WHERE type = 'car',True,True,True,True,False,True,True,match,6.701,6.848,,,
30,transaction_object_detection,SELECT COUNT(*) AS total_record FROM transaction_object_detection WHERE type = 'bus',SELECT COUNT(*) AS total FROM transaction_object_detection WHERE type = 'bus',True,True,True,True,False,True,True,match,2.104,2.786,,,
31,transaction_object_detection,SELECT * FROM transaction_object_detection WHERE value < 5,SELECT * FROM transaction_object_detection WHERE value < 5,True,True,True,True,False,True,True,match,32.381,32.074,,,
32,transaction_object_detection,SELECT MAX(detection_time) AS deteksi_terakhir FROM transaction_object_detection,SELECT MAX(detection_time) FROM transaction_object_detection,True,True,True,True,False,True,True,match,4.374,4.511,,,
33,transaction_object_detection,SELECT MIN(value) AS min_objek FROM transaction_object_detection,SELECT MIN(value) FROM transaction_object_detection WHERE type = 'snapshot',False,False,True,True,False,True,True,mismatch,3.866,3.317,,,
