question_id,db_id,question,predicted_sql,retrieved_tables,latency_seconds,llm_model,embedding_model,top_k,method,timestamp
1,transaction_enose,Tampilkan semua data transaksi e-nose,SELECT * FROM transaction_enose WHERE type = 'e-nose',transaction_enose,5.182,phi3.5:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:44:11.309148
2,transaction_enose,Tampilkan data e-nose yang paling baru,SELECT * FROM transaction_enose WHERE type = 'e-nose' ORDER BY date_time DESC LIMIT 1,transaction_enose,0.3313,phi3.5:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:44:11.640416
3,transaction_enose,Tampilkan data e-nose yang paling lama,"SELECT user_key, device_id, date_time FROM transaction_enose ORDER BY date_time ASC LIMIT 1",transaction_enose,0.34,phi3.5:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:44:11.980454
4,transaction_enose,Tampilkan semua transaksi e-nose untuk jenis greentea,SELECT * FROM transaction_enose WHERE type = 'green tea' ORDER BY date_time DESC LIMIT 50,transaction_enose,0.3216,phi3.5:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:44:12.302067
5,transaction_enose,Berapa jumlah transaksi e-nose untuk jenis greentea?,SELECT COUNT(*) AS total FROM transaction_enose WHERE type = 'green tea',transaction_enose,0.2353,phi3.5:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:44:12.537796
6,transaction_enose,Berapa jumlah transaksi yang dikirim oleh device e-nose_1?,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'e-nose_1',transaction_enose,0.2945,phi3.5:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:44:12.832321
7,transaction_enose,Tampilkan transaksi e-nose yang hasil klasifikasinya 'Baik',SELECT * FROM transaction_enose WHERE type = 'Baik',transaction_enose,0.2249,phi3.5:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:44:13.057536
8,transaction_enose,Tampilkan transaksi e-nose dengan multiclass A,SELECT * FROM transaction_enose WHERE type = 'multiclass A' ORDER BY date_time DESC LIMIT 50,transaction_enose,0.3285,phi3.5:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:44:13.386561
9,transaction_enose,Tampilkan transaksi e-nose pada bulan Februari 2025,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025 AND MONTH(date_time) = 2 ORDER BY date_time ASC LIMIT 50,transaction_enose,0.5073,phi3.5:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:44:13.894693
10,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada tahun 2025,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025 AND type = 'e-nose' ORDER BY date_time DESC LIMIT 50,transaction_enose,0.473,phi3.5:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:44:14.367686
11,transaction_enose,Kapan transaksi e-nose terakhir terjadi?,SELECT MAX(date_time) AS last_transaction_time FROM transaction_enose,transaction_enose,0.254,phi3.5:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:44:14.621718
12,transaction_enose,Tampilkan transaksi e-nose yang terjadi antara jam 10:00 dan 12:00,SELECT * FROM transaction_enose WHERE HOUR(date_time) BETWEEN 10 AND 11 ORDER BY date_time ASC LIMIT 50,transaction_enose,0.449,phi3.5:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:44:15.070753
13,transaction_enose,Berapa score klasifikasi terendah yang pernah tercatat?,"SELECT MIN(CAST(JSON_UNQUOTE(JSON_EXTRACT(value, '$.classificationScore')) AS UNSIGNED)) AS min_score FROM transaction_enose ORDER BY min_score ASC LIMIT 1",transaction_enose,0.5936,phi3.5:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:44:15.665195
14,transaction_enose,Berapa jumlah transaksi e-nose per device?,"SELECT device_id, COUNT(*) AS transaction_count FROM transaction_enose GROUP BY device_id",transaction_enose,0.2694,phi3.5:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:44:15.934849
15,transaction_enose,Tampilkan jumlah transaksi e-nose dengan klasifikasi Baik dan Cacat Mutu secara bersamaan,"SELECT COUNT(*) AS total FROM transaction_enose WHERE type IN ('Baik', 'Cacat Mutu')",transaction_enose,0.3217,phi3.5:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:44:16.256577
16,transaction_enose,"Berapa jumlah transaksi e-nose untuk masing-masing multiclass (A, B, C, D, E)?","SELECT device_id, COUNT(*) AS transaction_count FROM transaction_enose WHERE type IN ('A', 'B', 'C', 'D', 'E') GROUP BY device_id ORDER BY transaction_count DESC",transaction_enose,0.5331,phi3.5:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:44:16.789666
17,transaction_enose,Berapa rata-rata score per jenis teh?,"SELECT type, AVG(CAST(JSON_UNQUOTE(JSON_EXTRACT(value, '$.score')) AS UNSIGNED)) AS average_score FROM transaction_enose GROUP BY type ORDER BY average_score DESC LIMIT 50",transaction_enose,0.6875,phi3.5:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:44:17.477121
18,transaction_enose,Device mana yang paling sering mengirimkan data e-nose?,"SELECT device_id, COUNT(*) AS count FROM transaction_enose GROUP BY device_id ORDER BY count DESC LIMIT 1",transaction_enose,0.3994,phi3.5:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:44:17.876568
19,transaction_enose,Berapa jumlah transaksi e-nose per hari untuk device e-nose_1 pada bulan Juli 2025?,"SELECT DATE(date_time) AS day, COUNT(*) AS daily_transactions FROM transaction_enose WHERE device_id = 'e-nose_1' AND YEAR(date_time) = 2025 AND MONTH(date_time) = 7 GROUP BY day ORDER BY day ASC LIMIT 31",transaction_enose,0.838,phi3.5:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:44:18.714584
20,transaction_enose,Pada hari apa jumlah transaksi e-nose paling banyak?,"SELECT DATE(date_time) AS transaction_date, COUNT(*) AS transaction_count FROM transaction_enose GROUP BY DATE(date_time) ORDER BY transaction_count DESC LIMIT 1",transaction_enose,0.5205,phi3.5:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:44:19.235084
21,transaction_enose,Berapa persentase transaksi e-nose yang terdeteksi sebagai Cacat Mutu?,"SELECT ROUND((SUM(CASE WHEN type = 'Cacat Mutu' THEN value ELSE 0 END) / COUNT(*)) * 100, 2) AS percentage FROM transaction_enose",transaction_enose,0.5275,phi3.5:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:44:19.762565
