question_id,db_id,question,predicted_sql,retrieved_tables,latency_seconds,llm_model,embedding_model,top_k,method,timestamp
1,transaction_enose,Tampilkan semua data transaksi e-nose,SELECT * FROM transaction_enose WHERE device_id = 'device_id' AND type = 'data_send' AND date_time = 'date_time',transaction_enose,7.1859,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:22:30.896861
2,transaction_enose,Tampilkan data e-nose yang paling baru,SELECT * FROM transaction_enose WHERE device_id = 'X001' AND value = 'Paling baru',transaction_enose,0.4622,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:22:31.361723
3,transaction_enose,Tampilkan data e-nose yang paling lama,SELECT * FROM transaction_enose WHERE device_id = 'device_id' AND date_time = 'date_time',transaction_enose,0.4595,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:22:31.821240
4,transaction_enose,Tampilkan semua transaksi e-nose untuk jenis greentea,SELECT * FROM transaction_enose WHERE device_id = 'greentea' AND type = 'e-nose' AND value = 'greentea',transaction_enose,0.4775,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:22:32.298710
5,transaction_enose,Berapa jumlah transaksi e-nose untuk jenis greentea?,SELECT COUNT(*) AS total FROM transaction_enose WHERE value LIKE '%greentea%',transaction_enose,0.3944,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:22:32.693110
6,transaction_enose,Berapa jumlah transaksi yang dikirim oleh device e-nose_1?,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'e-nose_1',transaction_enose,0.3867,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:22:33.082176
7,transaction_enose,Tampilkan transaksi e-nose yang hasil klasifikasinya 'Baik',SELECT * FROM transaction_enose WHERE type = 'Baik',transaction_enose,0.361,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:22:33.443156
8,transaction_enose,Tampilkan transaksi e-nose dengan multiclass A,SELECT * FROM transaction_enose WHERE device_id = 'A' AND type = 'e-nose' AND data_send != '' AND value != '',transaction_enose,0.5023,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:22:33.945424
9,transaction_enose,Tampilkan transaksi e-nose pada bulan Februari 2025,SELECT * FROM transaction_enose WHERE date_time = '2025-02-01' AND type = 'e-nose',transaction_enose,0.4486,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:22:34.394044
10,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada tahun 2025,SELECT * FROM transaction_enose WHERE date_time = '2025-01-01' AND type = 'e-nose',transaction_enose,0.4783,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:22:34.872914
11,transaction_enose,Kapan transaksi e-nose terakhir terjadi?,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'device_id' AND date_time = 'date_time' AND type = 'e-nose',transaction_enose,0.4593,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:22:35.332234
12,transaction_enose,Tampilkan transaksi e-nose yang terjadi antara jam 10:00 dan 12:00,SELECT * FROM transaction_enose WHERE date_time >= '2010-01-10' AND date_time <= '2010-01-12',transaction_enose,0.5085,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:22:35.842237
13,transaction_enose,Berapa score klasifikasi terendah yang pernah tercatat?,SELECT COUNT(*) AS total FROM measurements WHERE score > (SELECT AVG(score) FROM measurements) ORDER BY score DESC LIMIT 50,transaction_enose,0.4214,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:22:36.263646
14,transaction_enose,Berapa jumlah transaksi e-nose per device?,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'device_id' ORDER BY total DESC LIMIT 1,transaction_enose,0.438,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:22:36.701647
