question_id,db_id,gold_sql,predicted_sql,esm_match,exec_match,pred_syntax_valid,gold_syntax_valid,is_select1,pred_valid,gold_valid,comparison,pred_latency_ms,gold_latency_ms,pred_error,gold_error,pred_syntax_error
1,transaction_enose,SELECT * FROM transaction_enose,SELECT * FROM transaction_enose WHERE data_send LIKE '%e-nose%',False,False,True,True,False,True,True,mismatch,0.695,2.37,,,
2,transaction_enose,SELECT * FROM transaction_enose ORDER BY date_time DESC LIMIT 1,SELECT * FROM transaction_enose WHERE type = 'e-nose' ORDER BY date_time DESC LIMIT 1,False,False,True,True,False,True,True,mismatch,0.407,0.312,,,
3,transaction_enose,SELECT * FROM transaction_enose ORDER BY date_time ASC LIMIT 1,SELECT * FROM transaction_enose ORDER BY date_time ASC LIMIT 1,True,True,True,True,False,True,True,match,0.733,0.89,,,
4,transaction_enose,SELECT * FROM transaction_enose WHERE type = 'greentea',"SELECT * FROM transaction_enose WHERE data_send LIKE '%type=""greentea""%'",False,False,True,True,False,True,True,mismatch,0.321,1.905,,,
5,transaction_enose,SELECT COUNT(*) AS total FROM transaction_enose WHERE type = 'greentea',"SELECT COUNT(*) AS total FROM transaction_enose WHERE data_send LIKE '%{\""label\"":\""greentea\""}'",False,False,True,True,False,True,True,mismatch,0.397,0.288,,,
6,transaction_enose,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'e-nose_1',SELECT COUNT(*) AS total FROM transaction_enose WHERE data_send LIKE '%e-nose_1%',False,False,True,True,False,True,True,mismatch,0.622,0.553,,,
7,transaction_enose,SELECT * FROM transaction_enose WHERE value LIKE '%Class:Baik%',"SELECT * FROM transaction_enose WHERE JSON_EXTRACT(data_send, '$.classification') = 'Baik'",False,True,True,True,False,True,True,match,1.089,0.376,,,
8,transaction_enose,SELECT * FROM transaction_enose WHERE value LIKE '%Multiclass:A%',"SELECT * FROM transaction_enose WHERE JSON_CONTAINS(data_send, '""class"":""A""') AND type = 'multiclass'",False,True,True,True,False,True,True,match,0.698,0.768,,,
9,transaction_enose,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025 AND MONTH(date_time) = 2,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025 AND MONTH(date_time) = 2 ORDER BY date_time DESC LIMIT 50,False,False,True,True,False,True,True,mismatch,0.692,0.945,,,
10,transaction_enose,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025,True,True,True,True,False,True,True,match,1.872,1.912,,,
11,transaction_enose,SELECT MAX(date_time) AS transaksi_terakhir FROM transaction_enose,"SELECT MAX(date_time) AS last_transaction FROM transaction_enose WHERE type = 'e-nose' GROUP BY user_key, device_id ORDER BY date_time DESC LIMIT 1",False,False,True,True,False,True,True,mismatch,27.701,20.039,,,
12,transaction_enose,SELECT * FROM transaction_enose WHERE TIME(date_time) BETWEEN '10:00:00' AND '12:00:00',SELECT * FROM transaction_enose WHERE TIME(date_time) BETWEEN '10:00:00' AND '12:00:00',True,True,True,True,False,True,True,match,1.746,1.492,,,
13,transaction_enose,"SELECT MIN(CAST(SUBSTRING_INDEX(SUBSTRING_INDEX(value, 'Score:', -1), ',', 1) AS DECIMAL(5,2))) AS min_score FROM transaction_enose",SELECT MIN(value) AS lowest_score FROM transaction_enose WHERE type = 'klasifikasi',False,False,True,True,False,True,True,mismatch,1.865,3.233,,,
14,transaction_enose,"SELECT device_id, COUNT(*) AS total FROM transaction_enose GROUP BY device_id ORDER BY total DESC","SELECT device_id, COUNT(*) AS total FROM transaction_enose GROUP BY device_id",False,True,True,True,False,True,True,match,0.798,0.399,,,
15,transaction_enose,"SELECT SUM(CASE WHEN value LIKE '%Class:Baik%' THEN 1 ELSE 0 END) AS total_baik, SUM(CASE WHEN value LIKE '%Cacat Mutu%' THEN 1 ELSE 0 END) AS total_cacat_mutu FROM transaction_enose","SELECT COUNT(*) AS total FROM transaction_enose WHERE data_send LIKE '%klasifikasi=""Baik""%' OR data_send LIKE '%klasifikasi=""Cacat Mutu""%'",False,False,True,True,False,True,True,mismatch,0.649,0.831,,,
16,transaction_enose,"SELECT SUM(CASE WHEN value LIKE '%Multiclass:A%' THEN 1 ELSE 0 END) AS A, SUM(CASE WHEN value LIKE '%Multiclass:B%' THEN 1 ELSE 0 END) AS B, SUM(CASE WHEN value LIKE '%Multiclass:C%' THEN 1 ELSE 0 END) AS C, SUM(CASE WHEN value LIKE '%Multiclass:D%' THEN 1 ELSE 0 END) AS D, SUM(CASE WHEN value LIKE '%Multiclass:E%' THEN 1 ELSE 0 END) AS E FROM transaction_enose","SELECT device_id, COUNT(*) AS total FROM transaction_enose WHERE type IN ('multiclass_A', 'multiclass_B', 'multiclass_C', 'multiclass_D', 'multiclass_E') GROUP BY device_id",False,False,True,True,False,True,True,mismatch,0.71,0.666,,,
17,transaction_enose,"SELECT type, AVG(CAST(SUBSTRING_INDEX(SUBSTRING_INDEX(value, 'Score:', -1), ',', 1) AS DECIMAL(5,2))) AS avg_score FROM transaction_enose GROUP BY type ORDER BY avg_score DESC","SELECT AVG(JSON_EXTRACT(data_send, '$.score')) AS average_score FROM transaction_enose WHERE JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.type')) = 'teh'",False,False,True,True,False,True,True,mismatch,1.384,1.307,,,
18,transaction_enose,"SELECT device_id, COUNT(*) AS total FROM transaction_enose GROUP BY device_id ORDER BY total DESC LIMIT 1",SELECT device_id FROM transaction_enose GROUP BY device_id ORDER BY COUNT(device_id) DESC LIMIT 1,False,False,True,True,False,True,True,mismatch,0.552,0.496,,,
19,transaction_enose,"SELECT DATE(date_time) AS tanggal, COUNT(*) AS total FROM transaction_enose WHERE device_id = 'e-nose_1' AND YEAR(date_time) = 2025 AND MONTH(date_time) = 7 GROUP BY tanggal ORDER BY tanggal",SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'e-nose_1' AND YEAR(date_time) = 2025 AND MONTH(date_time) = 7 ORDER BY date_time DESC LIMIT 31,False,False,True,True,False,True,True,mismatch,0.726,0.802,,,
20,transaction_enose,"SELECT DATE(date_time) AS tanggal, COUNT(*) AS total FROM transaction_enose GROUP BY tanggal ORDER BY total DESC LIMIT 1","SELECT DATE(date_time) AS transaction_day, COUNT(*) AS total_transactions FROM transaction_enose GROUP BY DATE(date_time) ORDER BY total_transactions DESC LIMIT 1",False,True,True,True,False,True,True,match,0.642,0.38,,,
21,transaction_enose,"SELECT ROUND(COUNT(CASE WHEN value LIKE '%Cacat Mutu%' THEN 1 END) * 100.0 / COUNT(*), 2) AS persen_cacat_mutu FROM transaction_enose","SELECT CAST(SUM(IIF(JSON_EXTRACT(data_send, '$.type') = 'Cacat Mutu', 1, 0)) AS DECIMAL(10, 2) * 100 / COUNT(*)) AS percentage FROM transaction_enose WHERE value LIKE '%deteksi%'",False,False,False,True,False,False,True,pred_error,0.372,0.759,"(pymysql.err.ProgrammingError) (1064, ""You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near '* 100 / COUNT(*)) AS percentage FROM transaction_enose WHERE value LIKE '%det...' at line 1"")
[SQL: SELECT CAST(SUM(IIF(JSON_EXTRACT(data_send, '$.type') = 'Cacat Mutu', 1, 0)) AS DECIMAL(10, 2) * 100 / COUNT(*)) AS percentage FROM transaction_enose WHERE value LIKE '%%deteksi%%']
(Background on this error at: https://sqlalche.me/e/20/f405)",,"(pymysql.err.ProgrammingError) (1064, ""You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near '* 100 / COUNT(*)) AS percentage FROM transaction_enose WHERE value LIKE '%det...' at line 1"")
[SQL: SELECT * FROM (SELECT CAST(SUM(IIF(JSON_EXTRACT(data_send, '$.type') = 'Cacat Mutu', 1, 0)) AS DECIMAL(10, 2) * 100 / COUNT(*)) AS percentage FROM transaction_enose WHERE value LIKE '%%deteksi%%') AS __syntax_check LIMIT 0]
(Background on this error at: https://sqlalche.me/e/20/f405)"
22,transaction_enose,"SELECT DATE_FORMAT(date_time, '%Y-%m') AS bulan, COUNT(*) AS total FROM transaction_enose GROUP BY bulan HAVING total > 20 ORDER BY bulan","SELECT DATE_FORMAT(date_time, '%Y-%m') AS month, COUNT(*) AS transaction_count FROM transaction_enose WHERE value > '20' GROUP BY DATE_FORMAT(date_time, '%Y-%m') HAVING transaction_count > 20",False,True,True,True,False,True,True,match,1.025,0.895,,,
23,transaction_enose,SELECT * FROM transaction_enose WHERE DATE(date_time) = (SELECT DATE(date_time) FROM transaction_enose GROUP BY DATE(date_time) ORDER BY COUNT(*) DESC LIMIT 1),"SELECT user_key, device_id, date_time, type, data_send, value FROM transaction_enose WHERE DATE(date_time) = (SELECT DATE(date_time) FROM transaction_enose GROUP BY DATE(date_time) ORDER BY COUNT(*) DESC LIMIT 1)",False,True,True,True,False,True,True,match,0.761,1.335,,,
24,transaction_object_detection,SELECT * FROM transaction_object_detection,"SELECT detection_time, type, value, device_id, user_key FROM transaction_object_detection",False,True,True,True,False,True,True,match,36.738,37.566,,,
25,transaction_object_detection,SELECT * FROM transaction_object_detection ORDER BY detection_time DESC LIMIT 10,SELECT * FROM transaction_object_detection WHERE type = 'object_detection' ORDER BY detection_time DESC LIMIT 10,False,False,True,True,False,True,True,mismatch,1.491,6.766,,,
26,transaction_object_detection,SELECT * FROM transaction_object_detection ORDER BY detection_time DESC LIMIT 1,"SELECT detection_time, type, value, device_id, user_key FROM transaction_object_detection ORDER BY detection_time DESC LIMIT 1",False,True,True,True,False,True,True,match,2.954,4.076,,,
27,transaction_object_detection,SELECT * FROM transaction_object_detection ORDER BY detection_time ASC LIMIT 1,"SELECT detection_time, type, value, device_id, user_key FROM transaction_object_detection ORDER BY detection_time ASC LIMIT 1",False,True,True,True,False,True,True,match,3.873,4.088,,,
28,transaction_object_detection,SELECT DISTINCT type FROM transaction_object_detection,SELECT type FROM transaction_object_detection GROUP BY type,False,True,True,True,False,True,True,match,5.466,5.334,,,
29,transaction_object_detection,SELECT * FROM transaction_object_detection WHERE type = 'car',SELECT * FROM transaction_object_detection WHERE type = 'car',True,True,True,True,False,True,True,match,10.657,6.835,,,
30,transaction_object_detection,SELECT COUNT(*) AS total_record FROM transaction_object_detection WHERE type = 'bus',SELECT COUNT(*) AS total FROM transaction_object_detection WHERE type = 'bus',True,True,True,True,False,True,True,match,4.037,3.785,,,
31,transaction_object_detection,SELECT * FROM transaction_object_detection WHERE value < 5,"SELECT detection_time, type, value AS nilai FROM transaction_object_detection WHERE value < 5",False,False,True,True,False,True,True,mismatch,27.575,32.284,,,
32,transaction_object_detection,SELECT MAX(detection_time) AS deteksi_terakhir FROM transaction_object_detection,SELECT MAX(detection_time) AS last_detection FROM transaction_object_detection GROUP BY device_id ORDER BY detection_time DESC LIMIT 1,False,True,True,True,False,True,True,match,8.834,3.856,,,
33,transaction_object_detection,SELECT MIN(value) AS min_objek FROM transaction_object_detection,"SELECT MIN(value) AS min_detected_value FROM transaction_object_detection GROUP BY device_id, detection_time ORDER BY detection_time ASC LIMIT 1",False,False,True,True,False,True,True,mismatch,9.937,4.225,,,
34,transaction_object_detection,"SELECT type, SUM(value) AS total FROM transaction_object_detection GROUP BY type ORDER BY total DESC","SELECT type, COUNT(*) AS total FROM transaction_object_detection GROUP BY type",False,False,True,True,False,True,True,mismatch,6.802,7.366,,,
35,transaction_object_detection,"SELECT type, COUNT(*) AS jumlah_record FROM transaction_object_detection GROUP BY type ORDER BY jumlah_record DESC","SELECT type, COUNT(*) AS total FROM transaction_object_detection GROUP BY type ORDER BY total DESC",False,True,True,True,False,True,True,match,4.006,5.979,,,
36,transaction_object_detection,"SELECT DATE(detection_time) AS tanggal, SUM(value) AS total FROM transaction_object_detection GROUP BY tanggal ORDER BY tanggal","SELECT DATE(detection_time) AS detection_date, COUNT(*) AS total_objects_detected FROM transaction_object_detection GROUP BY detection_date ORDER BY detection_date ASC",False,False,True,True,False,True,True,mismatch,5.512,7.325,,,
37,transaction_object_detection,"SELECT HOUR(detection_time) AS jam, SUM(value) AS total FROM transaction_object_detection WHERE DATE(detection_time) = '2025-02-19' GROUP BY jam ORDER BY jam","SELECT COUNT(*) AS total FROM transaction_object_detection WHERE DATE(detection_time) = '2025-02-19' AND HOUR(detection_time) = HOUR('2025-02-19 CONCAT(', LPAD(MINUTE('2025-02-19) 00:00:00'), 2, '0')) GROUP BY DATE_FORMAT(detection_time, '%Y-%m-%j %H')",False,False,False,True,False,False,True,pred_error,0.368,3.323,"(pymysql.err.ProgrammingError) (1064, ""You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ' LPAD(MINUTE('2025-02-19) 00:00:00'), 2, '0')) GROUP BY DATE_FORMAT(detection...' at line 1"")
[SQL: SELECT COUNT(*) AS total FROM transaction_object_detection WHERE DATE(detection_time) = '2025-02-19' AND HOUR(detection_time) = HOUR('2025-02-19 CONCAT(', LPAD(MINUTE('2025-02-19) 00:00:00'), 2, '0')) GROUP BY DATE_FORMAT(detection_time, '%%Y-%%m-%%j %%H')]
(Background on this error at: https://sqlalche.me/e/20/f405)",,"(pymysql.err.ProgrammingError) (1064, ""You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ' LPAD(MINUTE('2025-02-19) 00:00:00'), 2, '0')) GROUP BY DATE_FORMAT(detection...' at line 1"")
[SQL: SELECT * FROM (SELECT COUNT(*) AS total FROM transaction_object_detection WHERE DATE(detection_time) = '2025-02-19' AND HOUR(detection_time) = HOUR('2025-02-19 CONCAT(', LPAD(MINUTE('2025-02-19) 00:00:00'), 2, '0')) GROUP BY DATE_FORMAT(detection_time, '%%Y-%%m-%%j %%H')) AS __syntax_check LIMIT 0]
(Background on this error at: https://sqlalche.me/e/20/f405)"
38,transaction_object_detection,"SELECT DATE(detection_time) AS tanggal, type, SUM(value) AS total FROM transaction_object_detection GROUP BY tanggal, type ORDER BY tanggal, type","SELECT DATE(detection_time) AS date, type, COUNT(*) AS total FROM transaction_object_detection GROUP BY DATE(detection_time), type ORDER BY date ASC",False,False,True,True,False,True,True,mismatch,8.218,20.12,,,
