question_id,db_id,gold_sql,predicted_sql,esm_match,exec_match,pred_syntax_valid,gold_syntax_valid,is_select1,pred_valid,gold_valid,comparison,pred_latency_ms,gold_latency_ms,pred_error,gold_error,pred_syntax_error,pred_rows_count,gold_rows_count,pred_rows_preview,gold_rows_preview
1,transaction_enose,SELECT * FROM transaction_enose,SELECT * FROM transaction_enose,True,True,True,True,False,True,True,match,1.896,1.752,,,,233,233,"1 | e-nose_2 | 2026-04-08 10:18:15 | greentea | [{""MQ9"":149.42},{""MQ4"":261.7},{""TGS2602"":84.44},{""MQ6"":154.18},{""MQ5"":454.56},{""TGS2620"":75.47},{""MQ138"":372.19},{""MQ3"":151.35},{""TGS822"":28.64},{""MQ7"":199.39}] | [{""Class"":""Baik"",""Score"":[50.2],""Multiclass"":[""A""]}] || 1 | e-nose_2 | 2026-04-08 10:23:28 | greentea | [{""MQ9"":235.29},{""MQ4"":286.73},{""TGS2602"":86.73},{""MQ6"":233.96},{""MQ5"":401.82},{""TGS2620"":93.21},{""MQ138"":380.38},{""MQ3"":170.82},{""TGS822"":31.73},{""MQ7"":117.65}] | [{""Class"":""Baik"",""Sco...","1 | e-nose_2 | 2026-04-08 10:18:15 | greentea | [{""MQ9"":149.42},{""MQ4"":261.7},{""TGS2602"":84.44},{""MQ6"":154.18},{""MQ5"":454.56},{""TGS2620"":75.47},{""MQ138"":372.19},{""MQ3"":151.35},{""TGS822"":28.64},{""MQ7"":199.39}] | [{""Class"":""Baik"",""Score"":[50.2],""Multiclass"":[""A""]}] || 1 | e-nose_2 | 2026-04-08 10:23:28 | greentea | [{""MQ9"":235.29},{""MQ4"":286.73},{""TGS2602"":86.73},{""MQ6"":233.96},{""MQ5"":401.82},{""TGS2620"":93.21},{""MQ138"":380.38},{""MQ3"":170.82},{""TGS822"":31.73},{""MQ7"":117.65}] | [{""Class"":""Baik"",""Sco..."
2,transaction_enose,SELECT * FROM transaction_enose ORDER BY date_time DESC LIMIT 1,"SELECT JSON_UNQUOTE(JSON_EXTRACT(transaction_enose, '$.data_send')) AS data FROM transaction_enose ORDER BY JSON_EXTRACT(transaction_enose, '$.date_time') DESC LIMIT 1",False,False,False,True,False,False,True,pred_error,0.248,0.313,"(pymysql.err.OperationalError) (1054, ""Unknown column 'transaction_enose' in 'field list'"")
[SQL: SELECT JSON_UNQUOTE(JSON_EXTRACT(transaction_enose, '$.data_send')) AS data FROM transaction_enose ORDER BY JSON_EXTRACT(transaction_enose, '$.date_time') DESC LIMIT 1]
(Background on this error at: https://sqlalche.me/e/20/e3q8)",,"(pymysql.err.OperationalError) (1054, ""Unknown column 'transaction_enose' in 'field list'"")
[SQL: SELECT * FROM (SELECT JSON_UNQUOTE(JSON_EXTRACT(transaction_enose, '$.data_send')) AS data FROM transaction_enose ORDER BY JSON_EXTRACT(transaction_enose, '$.date_time') DESC LIMIT 1) AS __syntax_check LIMIT 0]
(Background on this error at: https://sqlalche.me/e/20/e3q8)",,1,,"1 | e-nose_2 | 2026-04-08 10:23:28 | greentea | [{""MQ9"":235.29},{""MQ4"":286.73},{""TGS2602"":86.73},{""MQ6"":233.96},{""MQ5"":401.82},{""TGS2620"":93.21},{""MQ138"":380.38},{""MQ3"":170.82},{""TGS822"":31.73},{""MQ7"":117.65}] | [{""Class"":""Baik"",""Score"":[51.9],""Multiclass"":[""A""]}]"
3,transaction_enose,SELECT * FROM transaction_enose ORDER BY date_time ASC LIMIT 1,SELECT MAX(value) AS total FROM transaction_enose WHERE date_time > (SELECT MIN(date_time) FROM transaction_enose),False,False,True,True,False,True,True,mismatch,0.355,0.283,,,,1,1,"{""0"":{""Class"":""Cacat Mutu"",""Score"":[48.7],""Multiclass"":[""A""]}}","eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwdWJsaWNfaWQiOiI5OTRlZmIxNi01N2Y3LTQwZmItYTgyZi1kYmFhNGZiYTUwODEiLCJleHAiOjE2NjA5NzIyNjF9.oKQl5BMeQq1RGsHvqG2ROBn0Qb3iYyNpphOGZpG0oKk | 10.251.251.172:8080 | 2025-02-07 15:41:57 | greentea | [{""MQ3"":562,""TGS822"":36,""TGS2602"":48,""MQ5"":46,""MQ138"":394,""TGS2620"":63}] | {""0"":{""Class"":""Cacat Mutu"",""Score"":[42.6],""Multiclass"":[""A""]}}"
4,transaction_enose,SELECT * FROM transaction_enose WHERE type = 'greentea',"SELECT JSON_EXTRACT(data_send, '$.type') AS type FROM transaction_enose WHERE type = 'greentea'",False,False,True,True,False,True,True,mismatch,0.933,1.741,,,,233,233,None || None || None,"1 | e-nose_2 | 2026-04-08 10:18:15 | greentea | [{""MQ9"":149.42},{""MQ4"":261.7},{""TGS2602"":84.44},{""MQ6"":154.18},{""MQ5"":454.56},{""TGS2620"":75.47},{""MQ138"":372.19},{""MQ3"":151.35},{""TGS822"":28.64},{""MQ7"":199.39}] | [{""Class"":""Baik"",""Score"":[50.2],""Multiclass"":[""A""]}] || 1 | e-nose_2 | 2026-04-08 10:23:28 | greentea | [{""MQ9"":235.29},{""MQ4"":286.73},{""TGS2602"":86.73},{""MQ6"":233.96},{""MQ5"":401.82},{""TGS2620"":93.21},{""MQ138"":380.38},{""MQ3"":170.82},{""TGS822"":31.73},{""MQ7"":117.65}] | [{""Class"":""Baik"",""Sco..."
5,transaction_enose,SELECT COUNT(*) AS total FROM transaction_enose WHERE type = 'greentea',SELECT COUNT(*) AS total FROM transaction_enose WHERE type = 'greentea',True,True,True,True,False,True,True,match,0.24,0.215,,,,1,1,233,233
6,transaction_enose,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'e-nose_1',SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'e-nose_1',True,True,True,True,False,True,True,match,0.265,0.23,,,,1,1,228,228
7,transaction_enose,SELECT * FROM transaction_enose WHERE value LIKE '%Class:Baik%',"SELECT JSON_EXTRACT(value, '$.type') AS enose_type FROM transaction_enose WHERE data_send = '{""type"": ""Baik""}'",False,True,True,True,False,True,True,match,0.269,0.464,,,,0,0,,
8,transaction_enose,SELECT * FROM transaction_enose WHERE value LIKE '%Multiclass:A%',"SELECT JSON_EXTRACT(data_send, '$.multiclass') AS multiclass FROM transaction_enose WHERE value > 0",False,True,True,True,False,True,True,match,0.42,0.332,,,,0,0,,
9,transaction_enose,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025 AND MONTH(date_time) = 2,"SELECT JSON_UNQUOTE(JSON_EXTRACT(transaction_enose, '$.data_send')) AS data FROM transaction_enose WHERE MONTH(date_time) = 2 AND YEAR(date_time) = 2025",False,False,False,True,False,False,True,pred_error,0.229,0.754,"(pymysql.err.OperationalError) (1054, ""Unknown column 'transaction_enose' in 'field list'"")
[SQL: SELECT JSON_UNQUOTE(JSON_EXTRACT(transaction_enose, '$.data_send')) AS data FROM transaction_enose WHERE MONTH(date_time) = 2 AND YEAR(date_time) = 2025]
(Background on this error at: https://sqlalche.me/e/20/e3q8)",,"(pymysql.err.OperationalError) (1054, ""Unknown column 'transaction_enose' in 'field list'"")
[SQL: SELECT * FROM (SELECT JSON_UNQUOTE(JSON_EXTRACT(transaction_enose, '$.data_send')) AS data FROM transaction_enose WHERE MONTH(date_time) = 2 AND YEAR(date_time) = 2025) AS __syntax_check LIMIT 0]
(Background on this error at: https://sqlalche.me/e/20/e3q8)",,80,,"eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwdWJsaWNfaWQiOiI5OTRlZmIxNi01N2Y3LTQwZmItYTgyZi1kYmFhNGZiYTUwODEiLCJleHAiOjE2NjA5NzIyNjF9.oKQl5BMeQq1RGsHvqG2ROBn0Qb3iYyNpphOGZpG0oKk | 10.251.251.172:8080 | 2025-02-07 15:41:57 | greentea | [{""MQ3"":562,""TGS822"":36,""TGS2602"":48,""MQ5"":46,""MQ138"":394,""TGS2620"":63}] | {""0"":{""Class"":""Cacat Mutu"",""Score"":[42.6],""Multiclass"":[""A""]}} || eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwdWJsaWNfaWQiOiI5OTRlZmIxNi01N2Y3LTQwZmItYTgyZi1kYmFhNGZiYTUwODEiLCJleHAiOjE2NjA5NzIyNjF..."
10,transaction_enose,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025,"SELECT JSON_UNQUOTE(JSON_EXTRACT(transaction_enose, '$.value')) AS value FROM transaction_enose WHERE YEAR(date_time) = 2025",False,False,False,True,False,False,True,pred_error,0.226,2.223,"(pymysql.err.OperationalError) (1054, ""Unknown column 'transaction_enose' in 'field list'"")
[SQL: SELECT JSON_UNQUOTE(JSON_EXTRACT(transaction_enose, '$.value')) AS value FROM transaction_enose WHERE YEAR(date_time) = 2025]
(Background on this error at: https://sqlalche.me/e/20/e3q8)",,"(pymysql.err.OperationalError) (1054, ""Unknown column 'transaction_enose' in 'field list'"")
[SQL: SELECT * FROM (SELECT JSON_UNQUOTE(JSON_EXTRACT(transaction_enose, '$.value')) AS value FROM transaction_enose WHERE YEAR(date_time) = 2025) AS __syntax_check LIMIT 0]
(Background on this error at: https://sqlalche.me/e/20/e3q8)",,231,,"eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwdWJsaWNfaWQiOiI5OTRlZmIxNi01N2Y3LTQwZmItYTgyZi1kYmFhNGZiYTUwODEiLCJleHAiOjE2NjA5NzIyNjF9.oKQl5BMeQq1RGsHvqG2ROBn0Qb3iYyNpphOGZpG0oKk | 10.251.251.172:8080 | 2025-02-07 15:41:57 | greentea | [{""MQ3"":562,""TGS822"":36,""TGS2602"":48,""MQ5"":46,""MQ138"":394,""TGS2620"":63}] | {""0"":{""Class"":""Cacat Mutu"",""Score"":[42.6],""Multiclass"":[""A""]}} || eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwdWJsaWNfaWQiOiI5OTRlZmIxNi01N2Y3LTQwZmItYTgyZi1kYmFhNGZiYTUwODEiLCJleHAiOjE2NjA5NzIyNjF..."
